ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/12/2025;COBERTURA;IMPORTE AFILIADO;AHORRO TOTAL;RANGO DE COBERTURA
45712;acetilciste�na;ACEMUK;600 mg tab.eferv.x 90;Siegfried;$ 28.191,21;40%;$ 16.914,73;$ 11.276,48;BAJA
44683;acetilciste�na+paracet.+asoc.;ACEMUK DIA Y NOCHE;comp.eferv.x 16;Siegfried;$ 13.774,47;50%;$ 6.887,24;$ 6.887,23;MEDIA
41877;acetilciste�na+tirotricina+asoc.;ACEMUK L;comp.x 20;Siegfried;$ 10.879,74;50%;$ 5.439,87;$ 5.439,87;MEDIA
28987;aciclovir;ACERPES;400 mg comp.x 20;Siegfried;$ 15.448,92;60%;$ 6.179,57;$ 9.269,35;MEDIA
28983;aciclovir;ACERPES;800 mg comp.x 20;Siegfried;$ 28.345,04;60%;$ 11.338,02;$ 17.007,02;MEDIA
31894;alendronato;ALENATO;70 mg comp.x 4;Siegfried;$ 12.003,90;60%;$ 4.801,56;$ 7.202,34;MEDIA
29561;alendronato;ALENATO;70 mg comp.x 8;Siegfried;$ 21.662,00;60%;$ 8.664,80;$ 12.997,20;MEDIA
44167;allopurinol;COLPURIL A RETARD;c�ps.c/microgranulosx 50;Siegfried;$ 15.291,37;60%;$ 6.116,55;$ 9.174,82;MEDIA
6445;allopurinol+colchicina;COLPURIL;100 mg comp.rec.x 20;Siegfried;$ 5.029,59;60%;$ 2.011,84;$ 3.017,75;MEDIA
6449;allopurinol+colchicina;COLPURIL 300 RETARD;c�ps.lib.prol.x 20;Siegfried;$ 15.655,50;60%;$ 6.262,20;$ 9.393,30;MEDIA
6450;allopurinol+colchicina;COLPURIL 300 RETARD;c�ps.lib.prol.x 50;Siegfried;$ 22.743,82;60%;$ 9.097,53;$ 13.646,29;MEDIA
36792;alprazolam;EMERAL;0.5 mg comp.x 30;Siegfried;$ 4.496,47;50%;$ 2.248,24;$ 2.248,23;MEDIA
32880;alprazolam;EMERAL;0.5 mg comp.x 50;Siegfried;$ 6.497,08;50%;$ 3.248,54;$ 3.248,54;MEDIA
36793;alprazolam;EMERAL;1 mg comp.x 30;Siegfried;$ 6.927,09;50%;$ 3.463,55;$ 3.463,54;MEDIA
32882;alprazolam;EMERAL;1 mg comp.x 50;Siegfried;$ 10.580,99;50%;$ 5.290,50;$ 5.290,49;MEDIA
36794;alprazolam;EMERAL;2 mg comp.x 30;Siegfried;$ 10.410,10;50%;$ 5.205,05;$ 5.205,05;MEDIA
32884;alprazolam;EMERAL;2 mg comp.x 50;Siegfried;$ 16.107,89;50%;$ 8.053,95;$ 8.053,94;MEDIA
40996;aluminio,hidr.+magn.hidr.+simet.;ACI-TIP;comp.mast.x 10;Siegfried;$ 1.208,29;40%;$ 724,97;$ 483,32;BAJA
40997;aluminio,hidr.+magn.hidr.+simet.;ACI-TIP;comp.mast.x 50;Siegfried;$ 5.437,32;40%;$ 3.262,39;$ 2.174,93;BAJA
13688;amlodipina;TERLOC;10 mg comp.x 30;Siegfried;$ 28.749,95;60%;$ 11.499,98;$ 17.249,97;MEDIA
46982;amlodipina;TERLOC;10 mg comp.x 60;Siegfried;$ 52.310,96;60%;$ 20.924,38;$ 31.386,58;MEDIA
13687;amlodipina;TERLOC;5 mg comp.x 30;Siegfried;$ 15.961,70;60%;$ 6.384,68;$ 9.577,02;MEDIA
46981;amlodipina;TERLOC;5 mg comp.x 60;Siegfried;$ 31.669,68;60%;$ 12.667,87;$ 19.001,81;MEDIA
24049;amlodipina+benazepril;TERLOC DUO;2.5/10 mg c�ps.x 30;Siegfried;$ 18.699,60;50%;$ 9.349,80;$ 9.349,80;MEDIA
24050;amlodipina+benazepril;TERLOC DUO;5/10 mg c�ps.x 30;Siegfried;$ 25.071,23;50%;$ 12.535,62;$ 12.535,61;MEDIA
24051;amlodipina+benazepril;TERLOC DUO;5/20 mg c�ps.x 30;Siegfried;$ 35.157,81;50%;$ 17.578,91;$ 17.578,90;MEDIA
486;amoxicilina;GRINSIL;500 mg comp.x 16;Siegfried;$ 6.140,83;60%;$ 2.456,33;$ 3.684,50;MEDIA
36184;amoxicilina;GRINSIL;500 mg comp.x 21;Siegfried;$ 6.450,02;60%;$ 2.580,01;$ 3.870,01;MEDIA
2999;amoxicilina;GRINSIL;500 mg susp.x 120 ml;Siegfried;$ 10.264,53;60%;$ 4.105,81;$ 6.158,72;MEDIA
40060;amoxicilina;GRINSIL DUO;875 mg comp.x 14;Siegfried;$ 9.180,80;60%;$ 3.672,32;$ 5.508,48;MEDIA
40035;amoxicilina+acetilciste�na;ACEMUK BIOTIC DUO;comp.rec.x 14;Siegfried;$ 16.125,64;50%;$ 8.062,82;$ 8.062,82;MEDIA
41652;amoxicilina+ambroxol;GRINSIL RESPIRATORIO DUO;875/60 mg comp.x 14;Siegfried;$ 15.343,32;50%;$ 7.671,66;$ 7.671,66;MEDIA
38607;amoxicilina+clavul�nico,�c.;GRINSIL CLAV DUO 875;875 mg comp.x 14;Siegfried;$ 20.898,00;60%;$ 8.359,20;$ 12.538,80;MEDIA
34027;antipirina+sodio,carbonato+asoc.;CEROSPORIN;gts.�ticas x 10 ml;Siegfried;$ 6.881,23;50%;$ 3.440,62;$ 3.440,61;MEDIA
34275;aripiprazol;GROVEN;10 mg comp.x 30;Siegfried;$ 7.266,18;50%;$ 3.633,09;$ 3.633,09;MEDIA
34276;aripiprazol;GROVEN;15 mg comp.x 15;Siegfried;$ 5.591,88;50%;$ 2.795,94;$ 2.795,94;MEDIA
34277;aripiprazol;GROVEN;15 mg comp.x 30;Siegfried;$ 10.599,85;50%;$ 5.299,93;$ 5.299,92;MEDIA
34278;aripiprazol;GROVEN;20 mg comp.x 15;Siegfried;$ 7.266,18;50%;$ 3.633,09;$ 3.633,09;MEDIA
24743;atenolol;ATEL;50 mg comp.x 30;Siegfried;$ 868,33;80%;$ 173,67;$ 694,66;ALTA
43818;azitromicina;MACROMAX PEDIATRICO;200 mg/5 ml susp.x 30 ml;Siegfried;$ 15.737,02;60%;$ 6.294,81;$ 9.442,21;MEDIA
17244;azitromicina;MACROMAX;500 mg comp.x 3;Siegfried;$ 10.176,77;60%;$ 4.070,71;$ 6.106,06;MEDIA
26140;azitromicina;MACROMAX;500 mg comp.x 6;Siegfried;$ 13.764,86;60%;$ 5.505,94;$ 8.258,92;MEDIA
12091;betametasona+salic�lico,�c.;MAXISALIC;ung.x 30 g;Siegfried;$ 15.932,03;40%;$ 9.559,22;$ 6.372,81;BAJA
29046;bezafibrato;BEZACUR;rtd.400 mg comp.x 30;Siegfried;$ 26.750,02;60%;$ 10.700,01;$ 16.050,01;MEDIA
37069;calcio;CALCIO BASE DUPOMAR FORTE;1 g comp.mast.x 60;Siegfried;$ 5.413,33;40%;$ 3.248,00;$ 2.165,33;BAJA
36214;calcio,carbonato;CALCIO BASE DUPOMAR;comp.x 30;Siegfried;$ 10.879,22;60%;$ 4.351,69;$ 6.527,53;MEDIA
7847;calcio,carbonato;CALCIO BASE DUPOMAR;comp.x 60;Siegfried;$ 18.784,91;60%;$ 7.513,96;$ 11.270,95;MEDIA
36217;calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 400;comp.x 30;Siegfried;$ 12.078,62;40%;$ 7.247,17;$ 4.831,45;BAJA
36216;calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 200;comp.x 30;Siegfried;$ 9.808,30;40%;$ 5.884,98;$ 3.923,32;BAJA
36215;calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D;comp.x 30;Siegfried;$ 9.567,94;40%;$ 5.740,76;$ 3.827,18;BAJA
26500;calcio,carbonato+vit.d3;CALCIO BASE DUPOMAR D3 400;comp.x 60;Siegfried;$ 18.013,60;40%;$ 10.808,16;$ 7.205,44;BAJA
